scenario_id,style_condition,ccer_score,gold_entity_count,hallucination_count,error_type_profile
001,clinical_charting,1.6923,13,3,"{""omission"": 2, ""numeric_error"": 3, ""hallucination"": 3}"
001,formal_template,2.1538,13,3,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 3}"
001,telegraphic_icu,1.0769,13,2,"{""numeric_error"": 2, ""omission"": 1, ""hallucination"": 2}"
002,clinical_charting,1.5,12,0,"{""omission"": 6, ""numeric_error"": 2}"
002,formal_template,1.8333,12,2,"{""omission"": 8, ""hallucination"": 2}"
002,telegraphic_icu,1.6667,12,2,"{""omission"": 7, ""hallucination"": 2}"
003,clinical_charting,2.3571,14,4,"{""omission"": 9, ""numeric_error"": 1, ""hallucination"": 4}"
003,formal_template,1.7857,14,2,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 2}"
003,telegraphic_icu,1.8571,14,3,"{""omission"": 7, ""hallucination"": 3, ""numeric_error"": 1}"
004,clinical_charting,1.5385,13,3,"{""hallucination"": 3, ""numeric_error"": 1, ""omission"": 4}"
004,formal_template,1.7692,13,3,"{""omission"": 7, ""hallucination"": 3}"
004,telegraphic_icu,1.6923,13,3,"{""hallucination"": 3, ""omission"": 5, ""numeric_error"": 1}"
005,clinical_charting,1.7692,13,3,"{""omission"": 4, ""numeric_error"": 2, ""hallucination"": 3}"
005,formal_template,2.2308,13,3,"{""omission"": 10, ""hallucination"": 3}"
005,telegraphic_icu,1.9231,13,3,"{""omission"": 5, ""numeric_error"": 2, ""hallucination"": 3}"
